TicketID,ApplicationName,AssignmentGroup,Status,Category,Subcategory,Urgency,Priority,Impact,ReassignmentCount
INC3040275,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Infrastructure Management Tools,Monitoring,2,3,2,1
INC3040279,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Infrastructure Management Tools,Monitoring,2,3,2,1
INC3040309,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Infrastructure Management Tools,Monitoring,2,3,2,1
INC3043903,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Infrastructure Management Tools,Monitoring,2,3,2,1
INC3043952,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Infrastructure Management Tools,Monitoring,2,3,2,1
INC3043972,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Infrastructure Management Tools,Monitoring,2,3,2,1
INC3044976,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Infrastructure Management Tools,Monitoring,2,3,2,1
INC3046319,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Infrastructure Management Tools,Monitoring,2,3,2,1
INC3048482,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Infrastructure Management Tools,Monitoring,2,3,2,1
INC3048556,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Infrastructure Management Tools,Monitoring,2,3,2,1
INC3055798,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Business Application,Unknown,3,4,3,0
INC3056222,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Infrastructure Management Tools,Monitoring,2,3,2,1
INC3058115,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Inquiry / Help,Unknown,3,4,3,0
INC3058181,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Infrastructure Management Tools,Monitoring,2,3,2,0
INC3058244,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Infrastructure Management Tools,Monitoring,3,4,3,1
INC3058270,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Infrastructure Management Tools,Monitoring,2,3,2,0
INC3063896,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Infrastructure Management Tools,Monitoring,2,3,2,1
INC3063914,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Infrastructure Management Tools,Monitoring,2,3,2,1
INC3067841,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Infrastructure Management Tools,Monitoring,2,3,2,1
INC3067895,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Infrastructure Management Tools,Monitoring,2,3,2,1
INC3067913,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Infrastructure Management Tools,Monitoring,2,3,2,1
INC3068477,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Database Catalog,Unknown,2,3,2,0
INC3068481,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Database Catalog,Unknown,2,3,2,0
INC3070498,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Infrastructure Management Tools,Monitoring,2,3,2,1
INC3073489,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Infrastructure Management Tools,Monitoring,2,3,2,1
INC3073539,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Infrastructure Management Tools,Monitoring,2,3,2,1
INC3073541,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Infrastructure Management Tools,Monitoring,2,3,2,1
INC3080476,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Business Application,Unknown,3,4,3,0
INC3082056,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Infrastructure Management Tools,Monitoring,3,4,3,0
INC3082817,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Infrastructure Management Tools,Monitoring,2,3,2,1
INC3084356,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Infrastructure Management Tools,Monitoring,2,3,2,1
INC3084357,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Infrastructure Management Tools,Monitoring,2,3,2,1
